Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Function,"DiagnoseParser::GetNtermIndex",,,,6,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,46,6,32,4,21,9,0,0,7,8,1,17,23,3,0,20,6,6,6,4,4,,,,,4,,3,4,,,0.28,,,,
Private Function,"DiagnoseParser::GetTermIndex",,,,10,58,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,104,10,58,8,45,39,0,0,8,20,1,29,37,7,0,30,11,11,11,4,4,,,,,4,,3,3,,,0.67,,,,
Private Function,"DiagnoseParser::MergeCandidate",,,,10,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,59,10,49,12,30,0,0,0,4,132,2,38,48,11,0,37,11,11,11,7,7,,,,,7,,5,7,,,0.00,,,,
Private Function,"DiagnoseParser::MisplacementRecovery",,,,3,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,29,3,26,6,16,0,0,0,7,9,1,13,18,4,0,14,5,5,6,1,0,,,,,0,,2,0,,,0.00,,,,
Private Function,"DiagnoseParser::Misspell",,,,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,4,14,6,9,0,0,0,5,2,0,10,13,6,0,7,2,2,2,1,0,,,,,0,,1,0,,,0.00,,,,
Private Function,"DiagnoseParser::PrimaryDiagnosis",,,,13,118,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,137,13,114,7,62,8,0,4,14,40,2,43,58,6,0,52,18,8,18,1,23,,,,,0,,3,0,,,0.07,,,,
Private Function,"DiagnoseParser::PrimaryPhase",,,,17,72,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,137,17,72,6,56,49,0,0,25,3168,4,41,59,5,0,54,19,19,25,5,7,,,,,6,,2,6,,,0.68,,,,
Private Function,"DiagnoseParser::ReallocateStacks",,,,10,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,49,10,39,10,18,0,0,0,2,1,0,27,18,9,0,9,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Private Function,"DiagnoseParser::ScopeTrial",,,,4,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,4,13,3,8,0,0,0,8,2,0,10,11,1,0,10,2,2,2,1,0,,,,,0,,1,0,,,0.00,,,,
Private Function,"DiagnoseParser::ScopeTrialCheck",,,,8,115,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,176,8,115,14,71,58,0,0,14,849,3,57,80,12,2,66,21,21,26,10,13,,,,,13,,6,12,,,0.50,,,,
Private Function,"DiagnoseParser::SecondaryCheck",,,,4,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36,4,23,5,12,7,0,2,8,5,1,11,14,3,0,11,4,4,6,4,4,,,,,4,,2,4,,,0.30,,,,
Private Function,"DiagnoseParser::SecondaryDiagnosis",,,,1,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,55,1,47,2,9,5,0,2,2,5,1,10,12,1,0,11,4,4,4,1,1,,,,,0,,2,0,,,0.11,,,,
Private Function,"DiagnoseParser::SecondaryPhase",,,,39,168,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,246,39,166,13,133,45,0,2,36,65280,5,102,132,12,2,118,24,22,32,1,5,,,,,0,,3,0,,,0.27,,,,
Private Function,"DiagnoseParser::SecondaryRecovery",,,,6,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,77,6,71,10,42,0,0,0,11,87,2,33,47,8,0,39,11,11,18,1,0,,,,,0,,5,0,,,0.00,,,,
Public Function,"DiagnoseParser::~DiagnoseParser",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,1,4,0,0,0,3,1,0,4,4,0,0,4,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Class,"DirectoryEntry",0,6,0,11,60,4,1,1,1,1,7,0,6,0,0,2,,0,,0,0,,,,,,8,5,0,2,3,8,8,0,,0,0,0,8,,74,11,60,13,15,4,0,0,,,,,31,20,0,11,,,,,,2,2,2,1,,0,1,,75,,0.07,8,8,8,7
Public Function,"DirectoryEntry::DirectoryEntry",,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,1,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Virtual Function,"DirectoryEntry::Image",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"DirectoryEntry::Initialize",,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,2,4,0,0,0,4,1,0,5,4,0,0,4,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"DirectoryEntry::Initialize",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"DirectoryEntry::IsDummy",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"DirectoryEntry::Mtime",,,,2,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,2,20,5,5,1,0,0,5,2,0,11,6,4,0,2,2,2,2,1,0,,,,,0,,1,0,,,0.05,,,,
Public Virtual Function,"DirectoryEntry::~DirectoryEntry",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Class,"DirectorySymbol",0,10,1,34,251,41,1,1,1,1,12,0,7,1,1,9,,0,,0,0,,,,,,23,7,5,0,2,23,53,5,,0,1,0,22,,319,27,189,35,46,34,71,5,,,,,82,46,0,36,,,,,,5,5,5,1,,1,2,,86,,0.18,32,32,32,21
Public Function,"DirectorySymbol::DirectoryName",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,3,0,0,0,2,2,0,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.00,,,,
Public Function,"DirectorySymbol::DirectoryNameLength",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,3,0,0,0,2,2,0,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.00,,,,
Public Function,"DirectorySymbol::DirectorySymbol",,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,2,4,0,0,0,4,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
